pair common_neigh jaccard pref_attach adamic sp_3 class
1-0 0 0.0 90 0 1.0 0
1-5 1 0.047619047619047616 105 0.2710850306818168 15.0 0
1-6 0 0.0 45 0 1.0 0
1-7 0 0.0 45 0 1.0 0
1-9 0 0.0 675 0 20.0 0
1-11 1 0.017857142857142856 630 0.2119318086698044 36.0 0
1-12 1 0.006369426751592357 2145 0.2119318086698044 68.0 0
1-13 0 0.0 570 0 43.0 0
1-14 1 0.038461538461538464 180 0.31066746727980593 31.0 0
1-16 1 0.020833333333333332 510 0.2119318086698044 23.0 0
1-18 0 0.0 720 0 16.0 0
1-25 0 0.0 615 0 18.0 0
1-26 0 0.0 960 0 25.0 0
1-27 1 0.01098901098901099 1155 0.2119318086698044 39.0 0
1-28 0 0.0 510 0 17.0 0
1-29 0 0.0 420 0 16.0 0
1-30 3 0.06 570 0.8787267023349927 73.0 0
1-31 0 0.0 540 0 10.0 0
1-32 0 0.0 930 0 47.0 0
1-33 3 0.0967741935483871 285 0.9605977955179372 61.0 0
1-34 3 0.09375 300 0.8787267023349927 66.0 0
1-36 2 0.04878048780487805 420 0.6076416716531761 49.0 0
1-37 4 0.12121212121212122 330 1.332541109604321 67.0 0
1-38 0 0.0 1095 0 25.0 0
1-39 0 0.0 105 0 1.0 0
1-42 0 0.0 90 0 2.0 0
1-43 0 0.0 675 0 13.0 0
1-45 0 0.0 1185 0 33.0 0
1-49 0 0.0 960 0 25.0 0
1-50 0 0.0 765 0 18.0 0
1-52 0 0.0 450 0 10.0 0
1-53 1 0.02127659574468085 495 0.2969742043733701 53.0 0
1-54 0 0.0 660 0 15.0 0
1-55 0 0.0 345 0 3.0 0
1-57 4 0.07142857142857142 675 1.2247029585961864 96.0 0
1-58 4 0.11428571428571428 360 1.2247029585961864 77.0 0
1-60 0 0.0 90 0 1.0 0
1-61 0 0.0 1335 0 26.0 0
1-63 0 0.0 30 0 1.0 0
1-64 3 0.12 195 1.019490891324855 48.0 0
1-65 0 0.0 45 0 2.0 0
1-68 1 0.01694915254237288 675 0.2969742043733701 33.0 0
1-69 0 0.0 1710 0 35.0 0
1-70 0 0.0 2145 0 53.0 0
1-71 0 0.0 225 0 10.0 0
1-72 0 0.0 1515 0 25.0 0
1-73 0 0.0 1485 0 22.0 0
1-74 1 0.007352941176470588 1830 0.2119318086698044 48.0 0
1-75 0 0.0 1125 0 27.0 0
1-77 0 0.0 225 0 19.0 0
1-78 1 0.03225806451612903 255 0.31066746727980593 13.0 0
1-80 0 0.0 1410 0 13.0 0
1-81 0 0.0 585 0 9.0 0
1-82 0 0.0 1080 0 33.0 0
1-83 0 0.0 2505 0 34.0 0
1-84 0 0.0 420 0 2.0 0
1-85 0 0.0 1050 0 20.0 0
1-86 0 0.0 1290 0 37.0 0
1-87 1 0.007751937984496124 1725 0.2119318086698044 45.0 0
1-88 0 0.0 795 0 29.0 0
1-89 0 0.0 165 0 2.0 0
1-90 0 0.0 2295 0 53.0 0
1-91 0 0.0 60 0 2.0 0
1-92 0 0.0 2310 0 44.0 0
1-93 0 0.0 1320 0 17.0 0
1-94 0 0.0 990 0 24.0 0
1-96 1 0.006369426751592357 2145 0.2119318086698044 48.0 0
1-97 3 0.08108108108108109 375 1.1078091169669133 67.0 0
1-98 0 0.0 15 0 1.0 0
1-99 0 0.0 420 0 24.0 0
1-100 0 0.0 1350 0 43.0 0
1-102 0 0.0 750 0 8.0 0
1-103 1 0.010416666666666666 1230 0.2119318086698044 50.0 0
